lon,lat,island,name,island_release,ID,Grid_cell_use,oocysts_total,oocysts_normalized,WUNAME,,,,,,,,,,,
-156.4805,20.44249,kahoolawe,kahoolawe1,6,65,66,0,0,NA,,,,,,,,,,,
-156.6294,20.44249,kahoolawe,kahoolawe2,6,66,65,0,0,NA,,,,,,,,,,,
-156.7669,20.48833,kahoolawe,kahoolawe3,6,67,65,0,0,NA,,,,,,,,,,,
-156.7096,20.63728,kahoolawe,kahoolawe4,6,68,65,0,0,NA,,,,,,,,,,,
-156.6104,21.09509,maui,honokohau_ma,7,69,79,0,0,NA,,,,,,,,,,,
-156.5021,21.05743,maui,kahakuloa_ma,7,70,80,0,0,NA,,,,,,,,,,,
-156.4409,20.98682,maui,wailuku_ma,7,71,80,0,0,NA,,,,,,,,,,,
-156.1773,20.98211,maui,honopou_ma,7,72,80,0,0,NA,,,,,,,,,,,
-156.1208,20.92562,maui,honomanu_ma,7,73,80,0,0,NA,,,,,,,,,,,
-156.0878,20.89738,maui,wailuaiki_ma,7,74,80,0,0,NA,,,,,,,,,,,
-156.0408,20.88796,maui,hanawai_ma,7,75,80,0,0,NA,,,,,,,,,,,
-155.989,20.58668,maui,oheo_gulch_ma,7,76,66,0,0,NA,,,,,,,,,,,
-156.7469,20.86913,maui,kahoma_ma,7,77,65,0,0,NA,,,,,,,,,,,
-156.728,20.81735,maui,kauaula_ma,7,78,65,0,0,NA,,,,,,,,,,,
-156.5721,20.68311,maui,maui1,7,79,65,0,0,NA,,,,,,,,,,,
-156.4805,20.57999,maui,maui2,7,80,66,0,0,NA,,,,,,,,,,,
-156.2513,20.5227,maui,maui3,7,81,66,0,0,NA,,,,,,,,,,,
-156.1253,20.56853,maui,maui4,7,82,66,0,0,NA,,,,,,,,,,,
-155.8961,20.71748,maui,maui5,7,83,66,0,0,NA,,,,,,,,,,,
-155.9305,20.84352,maui,maui6,7,84,66,0,0,NA,,,,,,,,,,,
-156.2628,21.03831,maui,maui7,7,85,80,0,0,NA,,,,,,,,,,,
-156.3544,21.00393,maui,maui8,7,86,80,0,0,NA,,,,,,,,,,,
-155.9419,20.28208,hawaii,hawaii1,8,87,66,0,0,NA,,,,,,,,,,,
-155.8732,20.35083,hawaii,hawaii2,8,88,66,0,0,NA,,,,,,,,,,,
-155.7128,20.305,hawaii,hawaii3,8,89,67,0,0,NA,,,,,,,,,,,
-155.4034,20.1675,hawaii,hawaii4,8,90,67,0,0,NA,,,,,,,,,,,
-155.2086,20.07584,hawaii,hawaii5,8,91,53,0,0,NA,,,,,,,,,,,
-155.094,19.98418,hawaii,hawaii6,8,92,53,0,0,NA,,,,,,,,,,,
-154.8878,19.70919,hawaii,hawaii7,8,93,54,0,0,NA,,,,,,,,,,,
-154.8076,19.61752,hawaii,hawaii8,8,94,54,0,0,NA,,,,,,,,,,,
-154.7045,19.5144,hawaii,hawaii9,8,95,54,0,0,NA,,,,,,,,,,,
-154.7961,19.3769,hawaii,hawaii10,8,96,54,0,0,NA,,,,,,,,,,,
-154.9107,19.30816,hawaii,hawaii11,8,97,40,0,0,NA,,,,,,,,,,,
-155.0482,19.23941,hawaii,hawaii12,8,98,39,0,0,NA,,,,,,,,,,,
-155.1972,19.18212,hawaii,hawaii13,8,99,39,0,0,NA,,,,,,,,,,,
-155.3232,19.12483,hawaii,hawaii14,8,100,39,0,0,NA,,,,,,,,,,,
-155.4378,19.02171,hawaii,hawaii15,8,101,39,0,0,NA,,,,,,,,,,,
-155.5295,18.89567,hawaii,hawaii16,8,102,39,0,0,NA,,,,,,,,,,,
-155.6669,18.8613,hawaii,hawaii17,8,103,39,0,0,NA,,,,,,,,,,,
-155.8044,18.91859,hawaii,hawaii18,8,104,38,0,0,NA,,,,,,,,,,,
-155.9305,19.02171,hawaii,hawaii19,8,105,38,0,0,NA,,,,,,,,,,,
-155.9649,19.1592,hawaii,hawaii20,8,106,38,0,0,NA,,,,,,,,,,,
-155.919,19.33107,hawaii,hawaii21,8,107,38,0,0,NA,,,,,,,,,,,
-155.9763,19.50294,hawaii,hawaii22,8,108,52,0,0,NA,,,,,,,,,,,
-156.0565,19.58315,hawaii,hawaii23,8,109,52,0,0,NA,,,,,,,,,,,
-156.0909,19.72064,hawaii,hawaii24,8,110,52,0,0,NA,,,,,,,,,,,
-156.0794,19.85814,hawaii,hawaii25,8,111,52,0,0,NA,,,,,,,,,,,
-155.9534,19.92689,hawaii,hawaii26,8,112,52,0,0,NA,,,,,,,,,,,
-155.8961,20.04147,hawaii,hawaii27,8,113,52,0,0,NA,,,,,,,,,,,
-155.9419,20.1675,hawaii,hawaii28,8,114,66,0,0,NA,,,,,,,,,,,
-155.5553,20.20148,hawaii,kawainui_alakahi_hi,8,115,67,0,0,NA,,,,,,,,,,,
-155.0061,19.84685,hawaii,honolii_hi,8,116,53,0,0,NA,,,,,,,,,,,
-154.9872,19.81233,hawaii,wailuku_hi,8,117,53,0,0,NA,,,,,,,,,,,
